,0
0,"{'120', '29', '161', '158', '36', '151', '169', '154', '176', '39', '153', '22', '189', '23', '85', '92', '160', '2', '196', '37', '34', '61', '90', '17', '0', '11', '180', '10', '8', '84', '162', '191', '20', '171', '190', '159', '62', '5', '4', '12', '31', '182', '35', '174', '79', '155', '165', '49', '152', '15', '157', '16', '179', '86', '192', '183', '33', '150', '28', '188', '45', '197', '41', '13', '181', '195', '1', '70', '46', '113', '126', '3', '193', '170', '178', '44', '175', '194', '56', '42', '48', '18', '43', '172', '25', '19', '199', '14', '184', '47', '185', '24', '163', '27', '164', '95', '186', '177', '6', '58', '30', '168', '187', '38', '173', '67', '7', '198', '26', '9', '166', '106', '32', '93', '21', '167', '40', '156'}"
50,"{'28', '103', '146', '51', '76', '89', '120', '116', '102', '132', '101', '83', '134', '122', '66', '77', '114', '128', '70', '154', '52', '143', '139', '113', '57', '121', '126', '138', '125', '145', '22', '88', '85', '119', '60', '92', '56', '100', '140', '142', '69', '137', '61', '109', '117', '90', '112', '115', '135', '147', '141', '64', '10', '84', '55', '95', '127', '110', '73', '65', '149', '171', '104', '54', '91', '107', '129', '105', '58', '168', '71', '62', '50', '97', '68', '82', '144', '87', '72', '131', '133', '75', '67', '63', '136', '123', '78', '99', '174', '130', '79', '111', '74', '148', '98', '108', '94', '106', '81', '96', '93', '118', '124', '86', '59', '80', '53'}"
79,"{'50', '70', '92', '56', '79', '90', '97', '86', '25'}"
100,"{'103', '146', '106', '100', '118', '139', '108', '117'}"
110,"{'110', '68', '148', '122', '105', '125', '86', '95'}"
111,"{'119', '123', '130', '111', '102', '101', '124', '129', '134', '148', '138'}"
126,"{'103', '120', '149', '102', '104', '37', '199', '106', '128', '112', '135', '93', '147', '139', '113', '126', '136'}"
127,"{'103', '146', '149', '112', '102', '135', '140', '118', '132', '136', '139', '141', '142', '127', '109', '117'}"
137,"{'149', '134', '129', '137', '125'}"
151,"{'162', '188', '191', '161', '158', '177', '190', '151', '1', '187', '173', '189', '153', '163', '193', '170', '178', '198', '174', '26', '160', '175', '155', '172', '166', '199', '152', '15', '17', '157', '185', '192', '156'}"
197,"{'166', '178', '195', '152', '184', '175', '191', '155', '165', '179', '185', '197', '180', '192', '182', '159', '150'}"
